Code	Currency	Symbol
AED	Dirham de los Emiratos Árabes Unidos	د.إ
AFN	Afgani afgano	؋
ALL	Lek albano	Lek
AMD	Dram armenio	֏
ANG	Florín de las Antillas Holandesas	ƒ
AOA	Kwanza angoleño	Kz
ARS	Peso argentino	$
AUD	Dólar australiano	$
AWG	Florín arubeño	ƒ
AZM	Manat azerbaiyano	ман
BAM	Marco convertible de Bosnia-Herzegovina	КМ
BBD	Dólar de Barbados	$
BDT	Taka de Bangladesh	৳
BGN	Lev búlgaro	лв
BHD	Dinar bahreiní	.د.ب
BIF	Franco burundés	Fr
BMD	Dólar de Bermuda	$
BND	Dólar de Brunei	$
BOB	Boliviano	$
BOV	Mvdol boliviano (código de fondos)	$
BRL	Real brasileño	R$
BSD	Dólar bahameño	$
BTN	Ngultrum de Bután	Nu.
BWP	Pula de Botswana	P
BYR	Rublo bielorruso	Br
BZD	Dólar de Belice	$
CAD	Dólar canadiense	$
CDF	Franco congoleño	Fr
CHF	Franco suizo	CHF
CLF	Unidades de fomento chilenas (código de fondos)	CLF
CLP	Peso chileno	$
CNY	Yuan Renminbi de China	¥
COP	Peso colombiano	$
COU	Unidad de valor real colombiana (añadida al COP)	$
CRC	Colón costarricense	₡
CSD	Dinar serbio (It was replaced by RSD on October 25, 2006)	Дин.
CUP	Peso cubano	$
CVE	Escudo caboverdiano	$
CYP	Libra chipriota	£
CZK	Koruna checo	Kč
DJF	Franco yibutiano	Fr
DKK	Corona danesa	kr
DOP	Peso dominicano	$
DZD	Dinar algerino	د.ج
EEK	Corona estonia	kr
EGP	Libra egipcia	£
ERN	Nakfa eritreo	Nfk
ETB	Birr etíope	Br
EUR	Euro	€
FJD	Dólar fijiano	$
FKP	Libra malvinense	£
GBP	Libra esterlina (libra de Gran Bretaña)	£
GEL	Lari georgiano	ლ
GHC	Cedi ghanés	₵
GIP	Libra de Gibraltar	£
GMD	Dalasi gambiano	D
GNF	Franco guineano	Fr
GTQ	Quetzal guatemalteco	Q
GYD	Dólar guyanés	$
HKD	Dólar de Hong Kong	$
HNL	Lempira hondureño	L
HRK	Kuna croata	kn
HTG	Gourde haitiano	G
HUF	Forint húngaro	Ft
IDR	Rupiah indonesia	Rp
ILS	Nuevo shéquel israelí	₪
INR	Rupia india	₹
IQD	Dinar iraquí	ع.د
IRR	Rial iraní	﷼
ISK	Króna islandesa	kr
JMD	Dólar jamaicano	$
JOD	Dinar jordano	د.ا
JPY	Yen japonés	¥
KES	Chelín keniata	Sh
KGS	Som kirguís (de Kirguistán)	лв
